kor,eng,sentence1_kor,sentence1_eng,sentence2_kor,sentence2_eng,sentence3_kor,sentence3_eng
환경,environment,환경을 사랑해요.,I love the environment.,우리는 깨끗한 환경에서 살고 싶어요.,We want to live in a clean environment.,기업들은 지속 가능한 미래를 위해 환경 보호에 적극적으로 기여해야 합니다.,Businesses must actively contribute to environmental protection for a sustainable future.
회사,company,저는 회사에 가요.,I go to the company.,그는 큰 IT 회사에서 일해요.,He works at a big IT company.,혁신적인 기술 스타트업은 빠르게 성장하는 글로벌 회사로 변모했습니다.,The innovative tech startup transformed into a rapidly growing global company.
정부,government,정부가 규칙을 만들어요.,The government makes rules.,정부는 국민의 복지를 위해 노력해야 해요.,The government should work for the welfare of its people.,새로운 정부는 경제 성장과 사회 개혁을 목표로 하는 정책을 발표했습니다.,The new government announced policies aimed at economic growth and social reform.
얼굴,face,그녀의 얼굴이 예뻐요.,Her face is pretty.,그는 어려운 문제에 직면했어요.,He faced a difficult problem.,불확실한 미래에 직면하여, 우리는 변화에 적응할 준비가 되어 있어야 합니다.,When faced with an uncertain future, we must be prepared to adapt to change.
경주,race,달리기 경주를 했어요.,I had a running race.,그는 인종 차별에 반대하는 목소리를 냈어요.,He spoke out against racial discrimination.,인류는 인종, 문화, 신념의 다양성에도 불구하고 공통된 인간성을 공유합니다.,Humanity shares a common humanity despite the diversity of races, cultures, and beliefs.
식물,plant,화분에 식물을 심었어요.,I planted a plant in the pot.,식물은 햇빛으로 자라요.,Plants grow with sunlight.,이 지역의 토종 식물은 생태계의 균형을 유지하는 데 필수적입니다.,The native plants in this region are essential for maintaining the ecological balance.
화재,fire,불이 났어요.,There was a fire.,소방관이 불을 껐어요.,The firefighter put out the fire.,그들은 새로운 로켓을 발사하기 위해 모든 준비를 마쳤습니다.,They completed all preparations to fire the new rocket.
문제,matter,이것은 중요한 문제예요.,This is an important matter.,무슨 일이야?,What's the matter?,그녀의 결정은 우리 모두에게 중요한 영향을 미쳤습니다.,Her decision mattered significantly to all of us.
상태,state,그는 좋은 상태예요.,He is in a good state.,그 나라는 평화로운 상태를 유지하고 있어요.,The state is maintaining a peaceful condition.,대통령은 국가의 경제 상황에 대해 연설했습니다.,The president delivered a speech about the state of the nation's economy.
원인,cause,사고의 원인은 무엇인가요?,What is the cause of the accident?,그의 행동이 문제를 야기했어요.,His actions caused the problem.,기후 변화의 근본 원인을 해결하는 것이 시급합니다.,It is urgent to address the root causes of climate change.
이유,reason,이유를 말해주세요.,Please tell me the reason.,그는 합리적인 이유로 결정을 내렸어요.,He made a decision for a reasonable reason.,인간의 이성은 복잡한 문제를 해결하고 새로운 지식을 탐구하는 데 필수적입니다.,Human reason is essential for solving complex problems and exploring new knowledge.
걱정,concern,저는 당신이 걱정돼요.,I am concerned about you.,이 문제는 모두에게 관련이 있어요.,This issue concerns everyone.,환경 보호는 전 세계 시민들의 주요 관심사입니다.,Environmental protection is a major concern for citizens worldwide.
곰,bear,곰은 숲에 살아요.,Bears live in the forest.,이 고통을 참을 수 없어요.,I can't bear this pain.,그녀는 엄청난 압력에도 불구하고 침착함을 유지했습니다.,She bore her composure despite immense pressure.
들어올리다,raise,손을 들어 올리세요.,Raise your hand.,그들은 자선 기금을 모금했어요.,They raised funds for charity.,그녀는 어려운 환경에서 자랐지만, 훌륭한 사람으로 성장했습니다.,She was raised in a difficult environment but grew into an excellent person.
주제,subject,오늘의 주제는 무엇인가요?,What is today's subject?,그는 역사 과목을 좋아해요.,He likes the subject of history.,그들은 논쟁의 여지가 있는 주제에 대해 열띤 토론을 벌였습니다.,They engaged in a heated debate on a controversial subject.
