    kor,eng,sentence1_kor,sentence1_eng,sentence2_kor,sentence2_eng,sentence3_kor,sentence3_eng
운동장,playground,운동장에서 축구를 했어요.,We played soccer in the playground.,운동장에서 뛰어놀았어요.,We ran around in the playground.,운동장에서 야구를 했어요.,We played baseball in the playground.
도서관,library,도서관에서 책을 빌렸어요.,I borrowed a book from the library.,도서관에서 공부를 했어요.,I studied at the library.,도서관에서 친구를 만났어요.,I met a friend at the library.
선생님,teacher,선생님께서 수업을 가르쳐주셨어요.,Our teacher taught us a lesson.,선생님께서 우리를 칭찬해주셨어요.,Our teacher praised us.,선생님께서 우리를 도와주셨어요.,Our teacher helped us.
공책,notebook,공책에 글을 적었어요.,I wrote in my notebook.,공책에 그림을 그렸어요.,I drew a picture in my notebook.,공책에 노트를 적었어요.,I took notes in my notebook.
시계,clock,시계를 보고 시간을 확인했어요.,I checked the time on the clock.,시계를 보고 수업 시간을 알았어요.,I knew the class time by looking at the clock.,시계를 보고 약속 시간을 확인했어요.,I checked the appointment time on the clock.
바다,sea,바다에서 수영을 했어요.,I swam in the sea.,바다에서 조개를 모았어요.,I collected shells by the sea.,바다에서 해변을 걸었어요.,I walked along the beach by the sea.
산,mountain,산에 등산을 했어요.,I hiked up the mountain.,산에서 풍경을 구경했어요.,I enjoyed the view from the mountain.,산에서 캠핑을 했어요.,I went camping in the mountain.
강,river,강가에서 보트를 탔어요.,I took a boat ride by the river.,강가에서 물고기를 잡았어요.,I caught fish by the river.,강가에서 산책을 했어요.,I took a walk by the river.
숲,forest,숲에서 나무를 봤어요.,I saw trees in the forest.,숲에서 버섯을 찾았어요.,I found mushrooms in the forest.,숲에서 새를 들었어요.,I heard birds in the forest.
동물원,zoo,동물원에서 사자를 봤어요.,I saw a lion at the zoo.,동물원에서 기린을 보았어요.,I saw a giraffe at the zoo.,동물원에서 원숭이를 봤어요.,I saw a monkey at the zoo.
박물관,museum,박물관에서 화가의 그림을 보았어요.,I saw a painting by an artist at the museum.,박물관에서 고대 유물을 보았어요.,I saw ancient artifacts at the museum.,박물관에서 과학 전시를 보았어요.,I saw a science exhibition at the museum.
시장,market,시장에서 과일을 샀어요.,I bought fruits at the market.,시장에서 생선을 샀어요.,I bought fish at the market.,시장에서 채소를 샀어요.,I bought vegetables at the market.
신문,newspaper,신문에서 오늘의 뉴스를 읽었어요.,I read today's news in the newspaper.,신문에서 스포츠 기사를 읽었어요.,I read a sports article in the newspaper.,신문에서 연예 기사를 읽었어요.,I read an entertainment article in the newspaper.
전화기,telephone,전화기로 친구에게 전화를 걸었어요.,I called my friend on the telephone.,전화기로 가족에게 전화를 걸었어요.,I called my family on the telephone.,전화기로 직장 동료에게 전화를 걸었어요.,I called my colleague at work on the telephone.
컴퓨터,computer,컴퓨터로 이메일을 보냈어요.,I sent an email on the computer.,컴퓨터로 문서를 작성했어요.,I wrote a document on the computer.,컴퓨터로 게임을 했어요.,I played a game on the computer.
음악,music,음악을 들으면서 공부를 했어요.,I studied while listening to music.,음악을 연주하면서 즐거웠어요.,I enjoyed playing music.,음악 공연을 보러 갔어요.,I went to watch a music concert.
영화,movie,영화를 보면서 즐거웠어요.,I enjoyed watching a movie.,영화에서 재미있는 장면을 봤어요.,I saw a funny scene in the movie.,영화에서 감동적인 장면을 봤어요.,I saw a touching scene in the movie.
사진,picture,사진을 찍으면서 추억을 남겼어요.,I took pictures to preserve memories.,사진을 보면서 추억을 되살렸어요.,I looked at pictures to relive memories.,사진을 프레임에 걸어놓았어요.,I hung pictures on the wall.
여행,trip,여행을 가면서 새로운 경험을 했어요.,I had a new experience on my trip.,여행을 가면서 아름다운 풍경을 보았어요.,I saw beautiful scenery on my trip.,여행을 가면서 맛있는 음식을 먹었어요.,I ate delicious food on my trip.
경기,game,경기를 하면서 즐거웠어요.,I enjoyed playing a game.,경기에서 이겼어요.,I won the game.,경기에서 배웠어요.,I learned from the game.
